No.;Time;Source;Destination;Protocol;Length;Info;;;Time1;Time2;DELAY;;Dellaay 1;dellay2;jitter
1;0;192.168.89.108;157.240.10.53;TLSv1.2;85;Application Data;;;0;0,099125;0,099125;;-0,095268;0,099125;-0,053129
3;0,099125;157.240.10.53;192.168.89.108;TCP;54;443  >  49895 [ACK] Seq=1 Ack=32 Win=321 Len=0;;;0,099125;0,293518;0,194393;;0,152254;0,194393;0,042139
4;0,293518;157.240.10.53;192.168.89.108;TLSv1.2;92;Application Data;;;0,293518;0,335657;0,042139;;-0,203328;0,042139;0,245467
5;0,335657;192.168.89.108;157.240.10.53;TCP;54;49895  >  443 [ACK] Seq=32 Ack=39 Win=1042 Len=0;;;0,335657;0,581124;0,245467;;0,128818;0,245467;0,116649
6;0,581124;192.168.89.108;20.198.162.76;TLSv1.2;154;Application Data;;;0,581124;0,697773;0,116649;;0,076565;0,116649;0,040084
7;0,697773;20.198.162.76;192.168.89.108;TLSv1.2;225;Application Data;;;0,697773;0,737857;0,040084;;-1;0,040084;1
8;0,737857;192.168.89.108;20.198.162.76;TCP;54;49726  >  443 [ACK] Seq=101 Ack=172 Win=255 Len=0;;;0,737857;1,517,451;1;;1;1;0
18;1,517,451;192.168.89.108;172.217.194.188;TCP;55;49715  >  5228 [ACK] Seq=1 Ack=1 Win=256 Len=1;;;1,517,451;1,614,183;0;;;;
19;1,614,183;172.217.194.188;192.168.89.108;TCP;66;5228  >  49715 [ACK] Seq=1 Ack=2 Win=274 Len=0 SLE=1 SRE=2;;;;total dellay;1,614183;;;Total jiter;1,267536
633;13,000,417;192.168.89.108;157.240.10.53;TLSv1.2;85;Application Data;;;;rata-rat dellay;0,001643771;;;rata-rat jiter;0,00129077
634;13,100,458;157.240.10.53;192.168.89.108;TCP;54;443  >  49895 [ACK] Seq=39 Ack=63 Win=321 Len=0;;;;;;;;;
635;13,311,449;157.240.10.53;192.168.89.108;TLSv1.2;92;Application Data;;;;;;;;;
636;13,352,359;192.168.89.108;157.240.10.53;TCP;54;49895  >  443 [ACK] Seq=63 Ack=77 Win=1041 Len=0;;;;;;;;;
